what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1297255901652
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1297255901653
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1297255901656
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1297255901656
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1297255901658
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1297255901659
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1297255901660
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1297255901665
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1297255901667
started,bundle,org.eclipse.ui.intro,3.3.2.v20100111_35x,"org.eclipse.ui.intro",1297255901667
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1297255901668
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1297255901669
started,bundle,org.tigris.subversion.clientadapter,1.6.10,"org.tigris.subversion.clientadapter",1297255901669
started,bundle,org.tigris.subversion.subclipse.core,1.6.10,"org.tigris.subversion.subclipse.core",1297255901669
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1297255901670
started,bundle,net.sf.ictalive.operetta,1.0.0,"net.sf.ictalive.operetta",1297255901670
started,bundle,net.sf.ictalive.operetta.check,1.0.0,"net.sf.ictalive.operetta.check",1297255901670
started,bundle,org.codehaus.groovy.eclipse,1.5.7.20081120_2330,"org.codehaus.groovy.eclipse",1297255901671
os,sysinfo,,,"macosx",1297255901675
arch,sysinfo,,,"x86_64",1297255901675
ws,sysinfo,,,"cocoa",1297255901675
locale,sysinfo,,,"en_GB",1297255901675
processors,sysinfo,,,"2",1297255901675
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1297255901675
java.runtime.version,sysinfo,,,"1.6.0_22-b04-307-10M3261",1297255901675
java.specification.name,sysinfo,,,"Java Platform API Specification",1297255901675
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1297255901675
java.specification.version,sysinfo,,,"1.6",1297255901675
java.vendor,sysinfo,,,"Apple Inc.",1297255901675
java.version,sysinfo,,,"1.6.0_22",1297255901675
java.vm.info,sysinfo,,,"mixed mode",1297255901675
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1297255901675
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1297255901675
